"DATASET","CLASSE","SOURCE","EMPLACEMENT","TABLE/FICHIER","VOLUME","CLE","SOURCE_DE_VERITE","CONSOMMATEURS","FRAICHEUR","QUALITE","DOUBLONS","DONNEES_SENSIBLES","ACTION_PROPOSEE"
"Comptes acteurs","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","users","59 tables au schema ; volume prod non mesurable d'ici","phone (unique) + id uuid","PostgreSQL JULABA","auth, caisse, BO, enrolement","vivante","63 colonnes sur une seule table - PII et securite melees","34 comptes equivalents documentes dans akoun-dev/COMPTES-TEST.md (autre base)","OUI - phone, email, nin, date_naissance, lieu_naissance, photo_url, password_hash, pin_code_hash, pin_code_encrypted_identificateur","Ne pas toucher. Documenter la frontiere PII / securite avant tout export analytique."
"Ventes et caisse","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","caisse_transactions, caisse_sessions, caisse_fond_journal","22 colonnes ; volume prod inconnu","id uuid + idempotency_key (index unique partiel)","PostgreSQL JULABA","caisse marchande, ResumeCaisse, VentesPassees, BO supervision","vivante","chemin d'argent le plus garde du depot (garde-argent, 250 invariants)","non","OUI - montants, marges, liens marchand","Ne pas toucher. Seule source de verite de l'argent."
"Catalogue produit par marchande","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","produits","17 colonnes ; 1 ligne par produit adopte","id uuid ; (marchand_id, default_code) unique","la marchande (prix, unite, stock)","caisse, GestionStock, adoption","vivante","STK-01 ferme le 22/09 (modification partielle n'efface plus le prix)","peut dupliquer un nom du referentiel maitre sans default_code","non (prix commerciaux)","Ne pas toucher."
"Miroir du referentiel maitre","MASTER","PostgreSQL JULABA","Render (prod pilote)","catalogue_maitre","0 ligne - VIDE","default_code (unique)","Odoo (VPS reel)","useCatalogueMaitre (cache telephone), ecran d'adoption","jamais synchronise","table saine, jamais remplie","non","non (ni prix ni PII par construction)","PRIORITE 1 - synchroniser depuis Odoo (chemin 1 decide le 22/09). Bloque : variables ODOO_* absentes de render.yaml ET aucun compte ADMIN sur le pilote."
"Credits et clients","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","clients, credits","0 ligne attendue (CAISSE_CREDIT_ACTIF=false)","id uuid ; (marchand_id, nom) unique","PostgreSQL JULABA","credits.controller (desactive pour le pilote)","inutilisee","CAI-09 ouvert : les routes credit ne passent pas par exigerJourneeOuverte","non","OUI - nom et telephone de clientes","Laisser. Fermer CAI-09 avant activation."
"Stock et mouvements","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","stocks, stock_mouvements, stock_reservations, stock_operation_idempotency","4 tables","id uuid + cle d'idempotence","PostgreSQL JULABA","GestionStock, caisse (restitution a l'annulation)","vivante","invariants dedies (mouvements hors stock, unite historique)","non","non","Ne pas toucher."
"Divisions administratives CIV","MASTER","PostgreSQL JULABA","Render + seed code","districts, regions, departements, communes","14 districts, 33 regions, 30 departements, 13 communes d'Abidjan","code (texte)","seed en dur dans admin-divisions.seed.ts","BO zones, enrolement, CIVLocationPicker","figee (seed idempotent au boot)","INCOMPLET : 13 communes d'Abidjan seulement, 30 departements sur ~110","OUI - civ-regions.geo.json porte 14 entites geometriques en parallele ; Supabase a sa propre table zones (6 lignes)","non","A UNIFIER - une seule source pour le decoupage administratif (voir ARCHITECTURE-LAKE)."
"Dossiers d'enrolement","OPERATIONAL","PostgreSQL JULABA","Render (prod pilote)","identifications","21 colonnes dont form_data (jsonb) et documents","id uuid","PostgreSQL JULABA","BOEnrolement, identificateurs terrain","vivante","form_data non schematise - contenu libre","non","OUI FORTE - documents d'identite, latitude/longitude, form_data libre","A AUDITER separement (RGPD/retention). Ne rien exporter avant."
"Academy (modules, questions, progression)","QUARANTINE","PostgreSQL JULABA","Render (prod pilote)","academy_modules, academy_questions, academy_progress","3 tables, 34 colonnes","id uuid","indeterminee","AUCUN controleur backend ne les lit","inconnue","schema present, aucun chemin de lecture ni d'ecriture","non","non","DECIDER : utiliser ou retirer. Donnee existante non utilisee (cas 1)."
"Configuration et metriques voix","ANALYTICS","PostgreSQL JULABA","Render (prod pilote)","voice_provider_config, voice_service_metrics","2 tables, 15 colonnes","id uuid","indeterminee","AUCUN controleur ne lit voice_provider_config","inconnue","config voix en base alors que le runtime lit des drapeaux d'environnement","OUI - double mecanisme de configuration voix","non","DECIDER : une seule facon de configurer la voix."
