PROVISIONAL_KEY,CLAUDE_ID,DIRECTION,CATEGORY,CONTEXT,MONEY_CRITICALITY,PLACEHOLDERS,FR_MARCHE,MAPPING_STATUS,MAPPING_NOTE
PROVISIONAL_FRM_INTENT_01,INT_ENCAISSER,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Commande orale d’encaissement; elle ne vaut pas confirmation métier du paiement.,CRITICAL,,Encaisse ça.,MAPPE,"Intention d'encaissement, motif ouvert. Prépare l'encaissement ; ne vaut jamais confirmation : la validation passe par INT_OUI_VALIDE après relecture."
PROVISIONAL_FRM_INTENT_02,INT_COMBIEN_DOIT,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Demande du montant encore dû par une cliente.,CRITICAL,,Elle doit combien ?,MAPPE,"Lecture seule, n'écrit jamais d'argent."
PROVISIONAL_FRM_INTENT_03,INT_OUI_VALIDE,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Accord oral avant une validation; la confirmation métier reste distincte.,CRITICAL,,"Oui, tu peux valider.",A_ARBITRER,"LISTE BLANCHE FERMÉE, phrase entière normalisée. La phrase proposée « Oui, tu peux valider. » n'y figure pas : elle n'entre pas sans validation native ET drapeau finance. Les huit réponses françaises admises sont figées."
PROVISIONAL_FRM_INTENT_04,INT_ANNULER_VALIDATION,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Refus ou demande d’annulation avant confirmation métier.,CRITICAL,,"Non, annule.",MAPPE,Testée AVANT la validation : le doute profite au refus.
PROVISIONAL_FRM_INTENT_05,TATA_MANQUE,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce d’un montant manquant dans le paiement.,CRITICAL,{montant},Il manque {montant} francs.,A_SCINDER,"Phrase DITE, pas écoutée : « Il manque {montant} {devise}. » La ligne est déclarée STT+TTS ; à scinder. Variable {montant} conservée ; « francs » devient {devise}."
PROVISIONAL_FRM_INTENT_06,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Demande de vérifier le calcul ou le compte avant la suite.,CRITICAL,,Vérifie bien le compte.,SANS_EQUIVALENT,"Aucune clé équivalente. Nos phrases voisines sont TATA_NE_VALIDE_PAS (« D'accord, je ne valide pas. ») et TATA_COMPTE_A_CHANGE. Créer une clé demande une décision : une phrase qui invite à vérifier sans relire les montants contredit la doctrine de relecture."
PROVISIONAL_FRM_INTENT_07,TATA_DONNE_RENDS,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce du montant effectivement remis par la cliente.,CRITICAL,{recu},Elle a donné {recu} francs.,MAPPE_FRAGMENT,"Fragment : chez nous le reçu et la monnaie sont dits d'un seul tenant — « Elle t'a donné {recu} {devise}. Tu rends {monnaie} {devise}. ». Phrase DITE. À traduire comme un tout, la scission changerait la relecture."
PROVISIONAL_FRM_INTENT_08,TATA_MONNAIE_A_RENDRE,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce de la monnaie à rendre à la cliente.,CRITICAL,{monnaie},Tu lui rends {monnaie} francs.,MAPPE,« Monnaie à rendre : {monnaie} {devise} ». Phrase DITE. Voir aussi le fragment de TATA_DONNE_RENDS.
PROVISIONAL_FRM_INTENT_09,TATA_DOIT,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce du total dû par la cliente.,CRITICAL,{total},Elle doit {total} francs.,MAPPE,"« Elle doit {total} {devise}. » Phrase DITE, équivalent exact."
PROVISIONAL_FRM_INTENT_10,TATA_RELECTURE_MONNAIE,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Demande orale de validation avant l’action métier.,CRITICAL,,Je valide ça ?,MAPPE_FRAGMENT,« Je valide ? » n'existe pas seule chez nous : elle est SOUDÉE à la relecture (TATA_RELECTURE_MONNAIE et TATA_RELECTURE_COMPTE_JUSTE). Doctrine : aucune phrase vocale n'écrit de l'argent sans confirmer exactement l'état financier qu'elle vient de relire. Ne pas produire de clip « Je valide ? » isolé.
PROVISIONAL_FRM_INTENT_11,TATA_PRIX_D_UN_SEUL,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un seul article.,HIGH,,"Un seul, c’est combien ?",A_SCINDER,"Chez nous c'est Tantie qui DEMANDE (« le prix d'un seul »), pas la marchande qui interroge. Direction à trancher avant traduction."
PROVISIONAL_FRM_INTENT_12,TATA_PRIX_DU_TOUT,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question sur le prix total de l’ensemble présenté.,HIGH,,"Tout ça, c’est combien ?",A_SCINDER,Chez nous c'est Tantie qui DEMANDE le prix de tout. Direction à trancher avant traduction.
PROVISIONAL_FRM_INTENT_13,INT_COMBIEN_DOIT,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question générale sur le montant à payer ou le total.,HIGH,,Ça fait combien ?,MAPPE,Déjà couvert : « ça fait combien » est une variante existante d'INT_COMBIEN_DOIT. Doublon avec la ligne 02.
