"identifiant","phrase_a_variables","origine","pourquoi"
"vente-07","Combien de tas (ou kilos) de {produit} ?","docx · Demande quantité (dialoguesTata.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-08","{montant} francs là, c'est le prix d'un seul ou bien c'est pour la totalité ?","docx · Levée d'ambiguïté (dialoguesTata.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-09","J'ai bien capté : {quantité} {produit} à {prix} francs l'unité. Ça fait {total} francs en tout. C'est bon, non ?","docx · Confirmation vente unitaire (dialoguesTata.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-10","J'ai bien capté : {quantité} {produit} pour {total} francs au total. On valide ?","docx · Confirmation vente en bloc (dialoguesTata.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-11","Vente de {quantité} {produit} pour {montant} francs, c'est bien ça, non ?","docx · Confirmation hors-ligne (localIntent.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-12","Dépense de {montant} francs sortie pour {produit}, c'est bien ça ?","docx · Confirmation dépense (localIntent.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"stk-01","Attention, deh ! {liste} est presque fini chez toi. Pense à recharger ton stock.","docx · Alerte rupture (ruptureStock.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-13","Aujourd'hui là, tu as vendu pour {montant} francs au total.","docx · Bilan ventes du jour (intentionsCaisse.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-15","Dans ta caisse physique là, il y a {montant} francs.","docx · Solde caisse (intentionsCaisse.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-16","Tes ventes moins tes dépenses sorties, il te reste {montant} francs aujourd'hui.","docx · Bénéfice du jour (intentionsCaisse.ts)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-17","{produit} est rentré dans le compte.","docx · Produit ajouté (POSCaisse.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-19","La monnaie que tu dois lui remettre : c'est {montant} francs.","docx · Monnaie (POSCaisse.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"stk-03","Combien de tas, de sacs ou de kilos de {produit} tu ajoutes ?","docx · Quantité stock (GestionStock.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"stk-04","{quantité} {unité} de {produit} sont rentrés. Ça te fait {total} {unité} en magasin maintenant.","docx · Succès réappro (GestionStock.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"stk-05","C'est calé ! {quantité} {unité} de {produit} à {prix} francs l'unité sont bien enregistrés.","docx · Création avec prix (GestionStock.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"stk-07","Y'a {N} marchandises qui sont presque finies : {liste des noms}.","docx · Alerte stock faible (GestionStock.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"dep-01","Dépense de {montant} francs bien enregistrée.","docx · Dépense notée (DepenseForm.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"dep-03","Aujourd'hui là, {montant} francs sont sortis de ta poche.","docx · Total dépenses (MarchandDepenses.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"crd-03","Crédit de {total} francs bien noté dans le cahier pour {client}. Elle doit verser ça le {date}.","docx · Crédit client noté (CreditModal.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-20","Ta journée de marché est ouverte avec {montant} Francs CFA comme fond de caisse.","docx · Ouverture journée (MarchandModals.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"vente-21","Ton fond de caisse est monté à {montant} Francs CFA maintenant.","docx · Fond de caisse mis à jour (MarchandModals.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"dash-01","Bonjour Maman {prénom} ! Faut ouvrir ta journée d'abord pour commencer le travail.","docx · Bonjour Dashboard (UniversalAccueil.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"dash-02","Ahi bravo ! Tu as vendu pour {ventes} francs déjà. Ta caisse est à {caisse} francs CFA.","docx · Félicitations ventes (UniversalAccueil.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
"dash-03","Attention, deh ! Les gens te doivent {cahier} francs dehors. Ta caisse a {caisse} francs.","docx · Rappel crédit (UniversalAccueil.tsx)","contient une variable — se compose au moment de parler, ne peut pas être un clip unique"
