PROVISIONAL_KEY,CATEGORY,CONTEXT,MONEY_CRITICALITY,FR_SOURCE,FR_MARCHE,TTS_CANONICAL,STT_VARIANTS,STATUS,VALIDATION_NOTE,LANGUAGE,LANGUAGE_CODE,LANGUAGE_VARIETY,VALIDATION_NATIVE_REQUISE,RISK_NOTE
PROVISIONAL_FRM_INTENT_01,FINANCIAL_PRIORITY_INTENT,Commande orale d’encaissement; elle ne vaut pas confirmation métier du paiement.,CRITICAL,Encaisse.,Encaisse ça.,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_02,FINANCIAL_PRIORITY_INTENT,Demande du montant encore dû par une cliente.,CRITICAL,Combien elle doit ?,Elle doit combien ?,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_03,FINANCIAL_PRIORITY_INTENT,Accord oral avant une validation; la confirmation métier reste distincte.,CRITICAL,"Oui, valide.","Oui, tu peux valider.",,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_04,FINANCIAL_PRIORITY_INTENT,Refus ou demande d’annulation avant confirmation métier.,CRITICAL,Non / annule.,"Non, annule.",,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_05,FINANCIAL_PRIORITY_INTENT,Annonce d’un montant manquant dans le paiement.,CRITICAL,Il manque {montant} francs.,Il manque {montant} francs.,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_06,FINANCIAL_PRIORITY_INTENT,Demande de vérifier le calcul ou le compte avant la suite.,CRITICAL,Compte juste.,Vérifie bien le compte.,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_07,FINANCIAL_PRIORITY_INTENT,Annonce du montant effectivement remis par la cliente.,CRITICAL,Elle a donné {recu} francs.,Elle a donné {recu} francs.,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_08,FINANCIAL_PRIORITY_INTENT,Annonce de la monnaie à rendre à la cliente.,CRITICAL,Tu rends {monnaie} francs.,Tu lui rends {monnaie} francs.,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_09,FINANCIAL_PRIORITY_INTENT,Annonce du total dû par la cliente.,CRITICAL,Elle doit {total} francs.,Elle doit {total} francs.,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_10,FINANCIAL_PRIORITY_INTENT,Demande orale de validation avant l’action métier.,CRITICAL,Je valide ?,Je valide ça ?,,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
PROVISIONAL_FRM_INTENT_11,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un seul article.,HIGH,Prix d’un seul.,"Un seul, c’est combien ?",,,DRAFT,DRAFT — cellule linguistique volontairement vide : aucune base baoulé central suffisamment fiable et contextualisée n’a été retenue. Validation native requise avant tout remplissage.,Baoulé,bci,Baoulé central; variété locale de marché à confirmer,true,
