ID,TYPE,DOMAINE,CRITIQUE_ARGENT,OWNER,FR_ACTUEL,FR_MARCHE,VARIABLES,VARIABLES_IMPLICITES,FR_STT_VARIANTS,DIOULA,BAOULE,AGNI,BETE,ADIOUKROU,EBRIE,ATTIE,ABOURE,SENOUFO_VARIANTE,WE,DAN,ABRON,KOULANGO,LOBI,DIDA,GOURO,AVIKAM,ABIDJI,ALLADIAN,STATUT_LINGUISTIQUE,AUDIO_STATUS,STATUT_INTEGRATION,SOURCE,NOTES
TATA_RELECTURE_MONNAIE,TTS_OUTPUT,caisse,OUI,manus,Elle doit {total} {devise}. Elle t'a donné {recu}. Tu rends {monnaie}. Je valide ?,,total recu monnaie,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:112,"Relecture financière finale : les trois nombres, puis la question. « oui valide » ne vaut que sur CE compte. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_RELECTURE_COMPTE_JUSTE,TTS_OUTPUT,caisse,OUI,manus,Elle doit {total} {devise}. Elle t'a donné {recu}. Compte juste. Je valide ?,,total recu,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:110,"Relecture financière finale quand il n'y a rien à rendre. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PANIER_VIDE_DIS_VENTE,TTS_OUTPUT,caisse,OUI,manus,Ton panier est vide. Dis-moi d'abord ce que tu vends.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:115,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_TOUCHE_LES_BILLETS,TTS_OUTPUT,caisse,OUI,manus,Elle doit {total} {devise}. Touche les billets qu'elle te donne.,,total,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:117,"Montant reçu : au doigt, jamais dicté (pilote). — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_NE_VALIDE_PAS,TTS_OUTPUT,caisse,OUI,manus,"D'accord, je ne valide pas.",,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:187,"Annulation de la validation. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_PANIER_VIDE,TTS_OUTPUT,caisse,OUI,manus,Ton panier est vide.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:193,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_DOIT_DONNE_RENDS,TTS_OUTPUT,caisse,OUI,manus,Elle doit {total} {devise}. Elle t'a donné {recu}. Tu rends {monnaie}.,,total recu monnaie,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:195,"Réponse à « combien elle doit » quand le reçu couvre. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_DOIT,TTS_OUTPUT,caisse,OUI,manus,Elle doit {total} {devise}.,,total,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:196,"Réponse à « combien elle doit ». — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_COMPTE_A_CHANGE,TTS_OUTPUT,caisse,OUI,claude,Le compte a changé. {suite},,suite,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/machineEncaissement.ts:226,{suite} = la relecture du nouveau compte (TATA_RELECTURE_* ou TATA_TOUCHE_LES_BILLETS). — Clé de COMPOSITION (owner = claude) : morceau ou gabarit d'assemblage ; l'ordre des morceaux se décide avec l'ingénierie — proposer la traduction dans NOTES.
TATA_MANQUE,TTS_OUTPUT,caisse,OUI,manus,Il manque {montant} {devise}.,,montant,{devise},,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/relectureSpontanee.ts:80,"Montant insuffisant, dit d'elle-même quand un billet est touché. — Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
TATA_COMPTE_JUSTE,TTS_OUTPUT,caisse,OUI,manus,Compte juste.,,,,,,,,,,,,,,,,,,,,,,,,field_validated,,migre,services/relectureSpontanee.ts:81,"Cellules Manus : FR_MARCHE, colonnes de langues, STATUT_LINGUISTIQUE, AUDIO_STATUS, NOTES. Garder les {variables} telles quelles ; VARIABLES_IMPLICITES = celles que le lexique fournit ({devise} = francs, {symboleDevise} = F)."
