PROVISIONAL_KEY,CLAUDE_ID,DIRECTION,CATEGORY,CONTEXT,MONEY_CRITICALITY,PLACEHOLDERS,FR_MARCHE,MAPPING_STATUS,MAPPING_NOTE
PROVISIONAL_FRM_INTENT_01,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Commande orale d’encaissement; elle ne vaut pas confirmation métier du paiement.,CRITICAL,,Encaisse ça.,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_02,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Demande du montant encore dû par une cliente.,CRITICAL,,Elle doit combien ?,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_03,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Accord oral avant une validation; la confirmation métier reste distincte.,CRITICAL,,"Oui, tu peux valider.",A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_04,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Refus ou demande d’annulation avant confirmation métier.,CRITICAL,,"Non, annule.",A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_05,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce d’un montant manquant dans le paiement.,CRITICAL,{montant},Il manque {montant} francs.,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_06,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Demande de vérifier le calcul ou le compte avant la suite.,CRITICAL,,Vérifie bien le compte.,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_07,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce du montant effectivement remis par la cliente.,CRITICAL,{recu},Elle a donné {recu} francs.,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_08,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce de la monnaie à rendre à la cliente.,CRITICAL,{monnaie},Tu lui rends {monnaie} francs.,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_09,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Annonce du total dû par la cliente.,CRITICAL,{total},Elle doit {total} francs.,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_10,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Demande orale de validation avant l’action métier.,CRITICAL,,Je valide ça ?,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_11,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un seul article.,HIGH,,"Un seul, c’est combien ?",A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_12,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question sur le prix total de l’ensemble présenté.,HIGH,,"Tout ça, c’est combien ?",A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_13,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question générale sur le montant à payer ou le total.,HIGH,,Ça fait combien ?,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_14,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un produit ou d’une quantité montrée.,HIGH,,C’est à combien ?,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_INTENT_15,,STT_INPUT + TTS_OUTPUT,FINANCIAL_PRIORITY_INTENT,Question ouverte sur le produit ou l’article vendu.,LOW,,Tu as vendu quoi ?,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
PROVISIONAL_FRM_NUMBER_000,,LEXICON,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,,zéro,A_REMAPPER,Claude renseigne CLAUDE_ID sans modifier PROVISIONAL_KEY; QA vérifie ensuite la correspondance métier.
