PROVISIONAL_KEY,CATEGORY,CONTEXT,MONEY_CRITICALITY,FR_SOURCE,FR_MARCHE,TTS_CANONICAL,STT_VARIANTS,STATUS,VALIDATION_NOTE,LANGUAGE,LANGUAGE_CODE,LANGUAGE_VARIETY,VALIDATION_NATIVE_REQUISE,RISK_NOTE
PROVISIONAL_FRM_INTENT_01,FINANCIAL_PRIORITY_INTENT,Commande orale d’encaissement; elle ne vaut pas confirmation métier du paiement.,CRITICAL,Encaisse.,Encaisse ça.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_02,FINANCIAL_PRIORITY_INTENT,Demande du montant encore dû par une cliente.,CRITICAL,Combien elle doit ?,Elle doit combien ?,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_03,FINANCIAL_PRIORITY_INTENT,Accord oral avant une validation; la confirmation métier reste distincte.,CRITICAL,"Oui, valide.","Oui, tu peux valider.",,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_04,FINANCIAL_PRIORITY_INTENT,Refus ou demande d’annulation avant confirmation métier.,CRITICAL,Non / annule.,"Non, annule.",,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_05,FINANCIAL_PRIORITY_INTENT,Annonce d’un montant manquant dans le paiement.,CRITICAL,Il manque {montant} francs.,Il manque {montant} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_06,FINANCIAL_PRIORITY_INTENT,Demande de vérifier le calcul ou le compte avant la suite.,CRITICAL,Compte juste.,Vérifie bien le compte.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_07,FINANCIAL_PRIORITY_INTENT,Annonce du montant effectivement remis par la cliente.,CRITICAL,Elle a donné {recu} francs.,Elle a donné {recu} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_08,FINANCIAL_PRIORITY_INTENT,Annonce de la monnaie à rendre à la cliente.,CRITICAL,Tu rends {monnaie} francs.,Tu lui rends {monnaie} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_09,FINANCIAL_PRIORITY_INTENT,Annonce du total dû par la cliente.,CRITICAL,Elle doit {total} francs.,Elle doit {total} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
PROVISIONAL_FRM_INTENT_10,FINANCIAL_PRIORITY_INTENT,Demande orale de validation avant l’action métier.,CRITICAL,Je valide ?,Je valide ça ?,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier. | Cellules linguistiques volontairement vides : contenu financier/prix/unité monétaire laissé vide faute de validation native solide en situation de marché. Ne pas déduire ni employer pour une confirmation ou une action de paiement.,Gouro,goa,Gouro de Zuénoula (goa) ; variantes Sinfra/Vavoua/Nord/Sud exclues sauf mention explicite,true,
