PROVISIONAL_KEY,CATEGORY,CONTEXT,MONEY_CRITICALITY,FR_SOURCE,FR_MARCHE,TTS_CANONICAL,STT_VARIANTS,STATUS,VALIDATION_NOTE,LANGUAGE,LANGUAGE_CODE,LANGUAGE_VARIETY,VALIDATION_NATIVE_REQUISE,RISK_NOTE
PROVISIONAL_FRM_INTENT_01,FINANCIAL_PRIORITY_INTENT,Commande orale d’encaissement; elle ne vaut pas confirmation métier du paiement.,CRITICAL,Encaisse.,Encaisse ça.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_02,FINANCIAL_PRIORITY_INTENT,Demande du montant encore dû par une cliente.,CRITICAL,Combien elle doit ?,Elle doit combien ?,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_03,FINANCIAL_PRIORITY_INTENT,Accord oral avant une validation; la confirmation métier reste distincte.,CRITICAL,"Oui, valide.","Oui, tu peux valider.",,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_04,FINANCIAL_PRIORITY_INTENT,Refus ou demande d’annulation avant confirmation métier.,CRITICAL,Non / annule.,"Non, annule.",,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_05,FINANCIAL_PRIORITY_INTENT,Annonce d’un montant manquant dans le paiement.,CRITICAL,Il manque {montant} francs.,Il manque {montant} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_06,FINANCIAL_PRIORITY_INTENT,Demande de vérifier le calcul ou le compte avant la suite.,CRITICAL,Compte juste.,Vérifie bien le compte.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_07,FINANCIAL_PRIORITY_INTENT,Annonce du montant effectivement remis par la cliente.,CRITICAL,Elle a donné {recu} francs.,Elle a donné {recu} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_08,FINANCIAL_PRIORITY_INTENT,Annonce de la monnaie à rendre à la cliente.,CRITICAL,Tu rends {monnaie} francs.,Tu lui rends {monnaie} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_09,FINANCIAL_PRIORITY_INTENT,Annonce du total dû par la cliente.,CRITICAL,Elle doit {total} francs.,Elle doit {total} francs.,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_10,FINANCIAL_PRIORITY_INTENT,Demande orale de validation avant l’action métier.,CRITICAL,Je valide ?,Je valide ça ?,,,DRAFT,À faire valider par deux locutrices ivoiriennes; tester en situation d’encaissement et confirmer que la formulation ne contourne aucune règle métier.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_11,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un seul article.,HIGH,Prix d’un seul.,"Un seul, c’est combien ?",,,DRAFT,"À faire valider par deux locutrices ivoiriennes; tester compréhension du montant, du prix ou de la dette en situation de vente.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_12,FINANCIAL_PRIORITY_INTENT,Question sur le prix total de l’ensemble présenté.,HIGH,Prix du tout.,"Tout ça, c’est combien ?",,,DRAFT,"À faire valider par deux locutrices ivoiriennes; tester compréhension du montant, du prix ou de la dette en situation de vente.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_13,FINANCIAL_PRIORITY_INTENT,Question générale sur le montant à payer ou le total.,HIGH,Combien ?,Ça fait combien ?,,,DRAFT,"À faire valider par deux locutrices ivoiriennes; tester compréhension du montant, du prix ou de la dette en situation de vente.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_14,FINANCIAL_PRIORITY_INTENT,Question sur le prix d’un produit ou d’une quantité montrée.,HIGH,C’est à combien ?,C’est à combien ?,,,DRAFT,"À faire valider par deux locutrices ivoiriennes; tester compréhension du montant, du prix ou de la dette en situation de vente.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_INTENT_15,FINANCIAL_PRIORITY_INTENT,Question ouverte sur le produit ou l’article vendu.,LOW,Tu as vendu quoi ?,Tu as vendu quoi ?,,,DRAFT,À faire valider par une vendeuse ivoirienne; vérifier l’usage oral en marché avant toute intégration.,Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_000,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,zéro,zéro,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_001,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,un,un,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_002,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,deux,deux,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_003,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,trois,trois,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_004,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatre,quatre,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_005,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,cinq,cinq,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_006,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,six,six,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_007,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,sept,sept,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_008,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,huit,huit,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_009,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,neuf,neuf,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_010,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix,dix,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_011,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,onze,onze,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_012,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,douze,douze,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_013,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,treize,treize,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_014,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quatorze,quatorze,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_015,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,quinze,quinze,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_016,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,seize,seize,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_017,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-sept,dix-sept,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_018,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-huit,dix-huit,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
PROVISIONAL_FRM_NUMBER_019,NUMBER_0_100,Lecture isolée d’un nombre pour une quantité ou un montant; l’unité et le contexte doivent être ajoutés.,MEDIUM,dix-neuf,dix-neuf,,,DRAFT,"À faire valider par une locutrice ivoirienne; tester articulation TTS et reconnaissance STT isolée, puis en contexte de quantité et de montant.",Avikam,avi,Localité ou communauté Avikam à confirmer,true,
